driver_code,forename,surname,nationality,races_entered,total_points,avg_finish_position,wins,podiums,points_finishes
VER,Max,Verstappen,Dutch,10,241.0,1.2,8,10,10
ALO,Fernando,Alonso,Spanish,9,124.0,3.5555555555555554,0,6,9
PER,Sergio,Pérez,Mexican,7,124.0,2.5714285714285716,2,5,7
HAM,Lewis,Hamilton,British,9,111.0,4.222222222222222,0,4,9
RUS,George,Russell,British,8,71.0,6.625,0,1,7
SAI,Carlos,Sainz,Spanish,7,60.0,6.0,0,0,6
LEC,Charles,Leclerc,Monegasque,7,51.0,9.428571428571429,0,2,4
NOR,Lando,Norris,British,6,38.0,10.5,0,1,3
STR,Lance,Stroll,Canadian,5,30.0,7.4,0,0,4
OCO,Esteban,Ocon,French,6,21.0,11.0,0,1,3
PIA,Oscar,Piastri,Australian,6,16.0,13.333333333333334,0,0,2
GAS,Pierre,Gasly,French,5,8.0,10.0,0,0,4
HUL,Nico,Hülkenberg,German,5,6.0,14.4,0,0,1
ZHO,Guanyu,Zhou,Chinese,5,4.0,12.4,0,0,2
BOT,Valtteri,Bottas,Finnish,5,4.0,13.2,0,0,1
MAG,Kevin,Magnussen,Danish,5,1.0,15.2,0,0,1
TSU,Yuki,Tsunoda,Japanese,5,1.0,12.6,0,0,1
ALB,Alexander,Albon,Thai,5,1.0,14.0,0,0,1
DEV,Nyck,de Vries,Dutch,5,0.0,15.6,0,0,0
SAR,Logan,Sargeant,American,5,0.0,16.2,0,0,0
